;id;;lat;;lng;
mark0;28704;mark1;44.67829;mark2;1.29754;mark3
mark0;32137;mark1;44.422;mark2;1.023;mark3
mark0;97417;mark1;44.422;mark2;1.022;mark3
mark0;108757;mark1;44.18868;mark2;1.87623;mark3
mark0;140997;mark1;44.82957;mark2;-0.09627;mark3
mark0;189450;mark1;44.394;mark2;0.098;mark3
mark0;239036;mark1;44.3395;mark2;1.20919;mark3
mark0;255249;mark1;44.87504;mark2;0.05328;mark3
mark0;255250;mark1;44.87265;mark2;0.05304;mark3
mark0;299364;mark1;44.17133;mark2;2.21179;mark3
mark0;305224;mark1;44.422;mark2;1.022;mark3
mark0;307226;mark1;44.4647;mark2;1.66965;mark3
mark0;308946;mark1;43.95282;mark2;1.84734;mark3
mark0;309094;mark1;48.34043;mark2;-3.18853;mark3
mark0;309849;mark1;44.19428;mark2;2.10051;mark3
mark0;322839;mark1;43.92667;mark2;1.54709;mark3
mark0;333791;mark1;43.97605;mark2;0.61203;mark3
mark0;334676;mark1;44.21811;mark2;1.97408;mark3
mark0;365438;mark1;43.90185;mark2;1.05903;mark3
mark0;422004;mark1;44.89512;mark2;-0.41671;mark3
mark0;504656;mark1;43.47119;mark2;1.55665;mark3
mark0;520780;mark1;43.623;mark2;1.459;mark3
mark0;566366;mark1;44.10617;mark2;1.29885;mark3
mark0;612030;mark1;48.08655;mark2;-3.01118;mark3
mark0;628515;mark1;43.82893;mark2;1.9716;mark3
mark0;655136;mark1;44.82748;mark2;-0.09729;mark3
mark0;657709;mark1;43.72976;mark2;0.87513;mark3
mark0;667415;mark1;43.72951;mark2;0.87677;mark3
mark0;667829;mark1;44.26561;mark2;1.95253;mark3
mark0;676696;mark1;47.39412;mark2;-0.33822;mark3
mark0;710762;mark1;43.91039;mark2;0.7918;mark3
mark0;710851;mark1;43.90922;mark2;0.79325;mark3
mark0;710887;mark1;43.90933;mark2;0.79256;mark3
mark0;728390;mark1;43.82693;mark2;1.97236;mark3
mark0;760247;mark1;43.95833;mark2;1.22932;mark3
mark0;760315;mark1;43.95746;mark2;1.23;mark3
mark0;766388;mark1;44.24872;mark2;1.92453;mark3
mark0;777552;mark1;43.61545;mark2;1.47872;mark3
mark0;782635;mark1;44.136;mark2;2.286;mark3
mark0;795936;mark1;43.94721;mark2;1.79063;mark3
mark0;798896;mark1;44.01642;mark2;0.64792;mark3
mark0;805652;mark1;44.82533;mark2;-0.09847;mark3
mark0;810165;mark1;43.43386;mark2;1.66276;mark3
mark0;819573;mark1;44.20729;mark2;0.89208;mark3
mark0;832126;mark1;44.1671;mark2;2.10878;mark3
mark0;836483;mark1;44.16827;mark2;2.10914;mark3
mark0;836495;mark1;44.16657;mark2;2.10875;mark3
mark0;837713;mark1;44.90228;mark2;-0.50126;mark3
mark0;846590;mark1;44.16718;mark2;2.11041;mark3
mark0;860114;mark1;44.68144;mark2;1.28019;mark3
mark0;865147;mark1;44.1376;mark2;2.28659;mark3
mark0;872442;mark1;44.10242;mark2;2.31901;mark3
mark0;872500;mark1;43.97632;mark2;0.60858;mark3
mark0;877930;mark1;48.34053;mark2;-3.18723;mark3
mark0;890416;mark1;44.42621;mark2;1.65541;mark3
mark0;899673;mark1;44.11361;mark2;0.92496;mark3
mark0;950281;mark1;44.01926;mark2;1.3523;mark3
mark0;950876;mark1;43.89646;mark2;1.68612;mark3
mark0;959711;mark1;43.62149;mark2;1.46169;mark3
mark0;965012;mark1;43.75575;mark2;1.09541;mark3
mark0;968275;mark1;44.74381;mark2;1.25759;mark3
mark0;970074;mark1;44.87948;mark2;-0.42376;mark3
mark0;974317;mark1;44.74305;mark2;1.26023;mark3
mark0;990977;mark1;43.73203;mark2;1.28632;mark3
mark0;991482;mark1;48.21262;mark2;-3.04861;mark3
mark0;994845;mark1;44.57744;mark2;1.33961;mark3
mark0;995606;mark1;43.23604;mark2;1.48743;mark3
mark0;999715;mark1;43.86975;mark2;1.28881;mark3
mark0;1000021;mark1;43.61823;mark2;1.47515;mark3
mark0;1007133;mark1;44.2208;mark2;0.99438;mark3
mark0;1012844;mark1;44.89211;mark2;-0.38257;mark3
mark0;1020884;mark1;44.777;mark2;-0.039;mark3
mark0;1023968;mark1;44.22006;mark2;1.40945;mark3
mark0;1024197;mark1;44.21785;mark2;1.40745;mark3
mark0;1025515;mark1;44.802;mark2;-0.078;mark3
mark0;1035895;mark1;48.09726;mark2;-2.95078;mark3
mark0;1053215;mark1;44.51362;mark2;1.08647;mark3
mark0;1054947;mark1;44.18237;mark2;0.94719;mark3
mark0;1055943;mark1;44.27513;mark2;0.90859;mark3
mark0;1065547;mark1;44.8063;mark2;0.07825;mark3
mark0;1069833;mark1;44.3476;mark2;1.30593;mark3
mark0;1099390;mark1;44.382;mark2;1.168;mark3
mark0;1109461;mark1;44.071;mark2;1.441;mark3
mark0;1116809;mark1;44.15182;mark2;1.75701;mark3
mark0;1129976;mark1;43.07828;mark2;0.15759;mark3
mark0;1134074;mark1;43.623;mark2;1.459;mark3
mark0;1142303;mark1;43.064;mark2;0.152;mark3
mark0;1147729;mark1;43.62;mark2;1.409;mark3
mark0;1158618;mark1;44.95216;mark2;-0.33623;mark3
mark0;1160837;mark1;43.332;mark2;1.505;mark3
mark0;1161946;mark1;44.88214;mark2;-0.49716;mark3
mark0;1162304;mark1;44.777;mark2;-0.039;mark3
mark0;1162309;mark1;44.777;mark2;-0.039;mark3
mark0;1162313;mark1;44.777;mark2;-0.039;mark3
mark0;1166171;mark1;44.32255;mark2;0.84206;mark3
mark0;1169166;mark1;47.4202;mark2;-0.29969;mark3
mark0;1181478;mark1;43.06485;mark2;0.14756;mark3
mark0;1194582;mark1;44.25785;mark2;0.90719;mark3
mark0;1204521;mark1;44.17808;mark2;1.61791;mark3
mark0;1215956;mark1;43.892;mark2;0.77;mark3
mark0;1219438;mark1;44.21911;mark2;1.40959;mark3
mark0;1221197;mark1;44.413;mark2;0.047;mark3
mark0;1259475;mark1;44.30516;mark2;0.75422;mark3
mark0;1267480;mark1;43.68034;mark2;1.17568;mark3
mark0;1282838;mark1;43.40311;mark2;1.56561;mark3
